detector,descriptor,#Img,#KptsPerFrame,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,TTCLidar(s),TTCCamera(s)
SHITOMASI,FREAK,17,1919,914,8.1045,12.436,8.617,6.95026e-310,0

SHITOMASI,SIFT,0,1723,0,7.9059,11.2982,0,0,0
SHITOMASI,SIFT,1,1759,797,8.2086,11.2062,7.1459,0,0
SHITOMASI,SIFT,2,1820,779,8.2605,12.3979,7.3597,0,0
SHITOMASI,SIFT,3,1850,843,8.5207,11.723,8.607,0,0
SHITOMASI,SIFT,4,1828,792,8.3912,11.7752,7.8093,0,0
SHITOMASI,SIFT,5,1806,817,8.1439,11.4949,7.5373,0,0
SHITOMASI,SIFT,6,1877,805,8.0533,11.8111,7.5604,13.7511,21.358
SHITOMASI,SIFT,7,1894,780,8.0374,12.0461,7.8416,0,0
SHITOMASI,SIFT,8,1889,850,8.0682,11.9737,7.6769,0,0
SHITOMASI,SIFT,9,1917,842,8.3783,12.1182,8.072,0,0
SHITOMASI,SIFT,10,1874,832,8.0743,13.2491,7.9877,4.94066e-324,-nan
SHITOMASI,SIFT,11,1912,857,8.075,13.3954,8.0576,6.95026e-310,6.9533e-310
SHITOMASI,SIFT,12,1930,849,8.0374,12.0737,8.175,3.39519e-313,6.32404e-322
SHITOMASI,SIFT,13,1880,884,8.0579,11.9207,7.7991,4.04739e-320,3.73471e-312
SHITOMASI,SIFT,14,1886,889,8.3522,11.9628,8.1477,3.30541e-317,7.90505e-323
SHITOMASI,SIFT,15,1957,906,8.1217,12.4405,8.3082,6.95026e-310,9.88131e-324
SHITOMASI,SIFT,16,1888,878,8.0449,12.1391,8.5726,3.30536e-317,2.37664e-312
SHITOMASI,SIFT,17,1919,914,8.447,12.164,8.22,6.95026e-310,0

HARRIS,BRISK,0,1723,0,7.7723,11.0205,0,0,0
HARRIS,BRISK,1,1759,797,8.0421,11.2446,7.0555,0,0
HARRIS,BRISK,2,1820,779,9.4201,11.5478,7.3076,0,0
HARRIS,BRISK,3,1850,843,8.0869,11.7772,7.7684,0,0
HARRIS,BRISK,4,1828,792,8.0676,11.7121,7.7582,0,0
HARRIS,BRISK,5,1806,817,8.0823,11.4412,7.6265,0,0
HARRIS,BRISK,6,1877,805,8.465,12.4506,7.7784,13.7511,21.358
HARRIS,BRISK,7,1894,780,9.8182,11.9109,7.8901,0,0
HARRIS,BRISK,8,1889,850,8.8974,12.2058,7.8516,0,0
HARRIS,BRISK,9,1917,842,8.8992,12.478,8.9822,0,0
HARRIS,BRISK,10,1874,832,8.8187,12.1168,7.9373,4.94066e-324,-nan
HARRIS,BRISK,11,1912,857,9.5654,12.5032,9.4739,6.95026e-310,6.9533e-310
HARRIS,BRISK,12,1930,849,9.9433,15.7119,8.5738,3.39519e-313,6.32404e-322
HARRIS,BRISK,13,1880,884,8.6888,12.8773,8.1637,4.04739e-320,3.73471e-312
HARRIS,BRISK,14,1886,889,9.0121,11.7566,8.0681,3.30541e-317,7.90505e-323
HARRIS,BRISK,15,1957,906,8.6034,13.1221,8.1512,6.95026e-310,9.88131e-324
HARRIS,BRISK,16,1888,878,11.1657,12.326,8.3081,3.30536e-317,2.37664e-312
HARRIS,BRISK,17,1919,914,9.1518,12.5098,8.1871,6.95026e-310,0

HARRIS,BRIEF,0,1723,0,9.9518,11.7555,0,0,0
HARRIS,BRIEF,1,1759,797,8.2119,12.3614,8.1014,0,0
HARRIS,BRIEF,2,1820,779,9.6488,12.0791,7.372,0,0
HARRIS,BRIEF,3,1850,843,8.4405,12.1908,9.1506,0,0
HARRIS,BRIEF,4,1828,792,8.8893,11.9129,8.2015,0,0
HARRIS,BRIEF,5,1806,817,8.6503,12.207,7.9661,0,0
HARRIS,BRIEF,6,1877,805,9.4419,12.0191,7.4798,13.7511,21.358
HARRIS,BRIEF,7,1894,780,9.2197,11.9106,8.0783,0,0
HARRIS,BRIEF,8,1889,850,9.2122,14.2702,9.5552,0,0
HARRIS,BRIEF,9,1917,842,8.7606,14.9491,8.186,0,0
HARRIS,BRIEF,10,1874,832,8.5613,14.6845,8.6663,4.94066e-324,-nan
HARRIS,BRIEF,11,1912,857,8.7728,12.3762,7.9371,6.95026e-310,6.9533e-310
HARRIS,BRIEF,12,1930,849,11.1199,12.388,8.176,3.39519e-313,6.32404e-322
HARRIS,BRIEF,13,1880,884,10.0526,12.4277,8.3185,4.04739e-320,3.73471e-312
HARRIS,BRIEF,14,1886,889,8.741,13.1309,8.4791,3.30541e-317,7.90505e-323
HARRIS,BRIEF,15,1957,906,8.6633,15.7977,9.3365,6.95026e-310,9.88131e-324
HARRIS,BRIEF,16,1888,878,9.0874,15.1279,9.6461,3.30536e-317,2.37664e-312
HARRIS,BRIEF,17,1919,914,8.7381,12.6171,7.9925,6.95026e-310,0

HARRIS,ORB,0,1723,0,9.0054,11.451,0,0,0
HARRIS,ORB,1,1759,797,9.4857,14.4757,7.1645,0,0
HARRIS,ORB,2,1820,779,8.8119,12.5492,7.1105,0,0
HARRIS,ORB,3,1850,843,8.6312,12.7256,7.8483,0,0
HARRIS,ORB,4,1828,792,8.389,11.9457,7.8092,0,0
HARRIS,ORB,5,1806,817,9.4343,12.1416,8.0178,0,0
HARRIS,ORB,6,1877,805,9.7631,13.441,9.3392,13.7511,21.358
HARRIS,ORB,7,1894,780,8.5406,12.715,8.5029,0,0
HARRIS,ORB,8,1889,850,8.7898,12.721,9.3195,0,0
HARRIS,ORB,9,1917,842,8.8137,12.4838,8.2749,0,0
HARRIS,ORB,10,1874,832,8.8668,12.2989,7.8266,4.94066e-324,-nan
